"voted2004","gender","ageY","ageC","educationC","incomeC","partyAffiliation","percentAttended"
"no","M",25.7715036112935,"(19.2,36.7]","primary","35k-75k","Unaffiliated/Other",0
"yes","F",47.9125629240534,"(45.8,54.2]","secondary","< 35k","Democrat",0.241379310344828
"yes","M",48.3557671262858,"(45.8,54.2]","postsec","35k-75k","Unaffiliated/Other",0.204545454545455
"yes","M",35.8721820967389,"(19.2,36.7]","secondary","< 35k","Unaffiliated/Other",0.0909090909090909
"yes","M",36.0308601444517,"(19.2,36.7]","secondary","35k-75k","Unaffiliated/Other",0.0227272727272727
"yes","M",53.4115780258262,"(45.8,54.2]","primary","35k-75k","Unaffiliated/Other",0.25
"yes","F",41.3629897132852,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.386363636363636
"no","F",38.53961479536,"(36.7,45.8]","postsec","35k-75k","Unaffiliated/Other",0.269230769230769
"no","F",54.5660976143576,"(54.2,108]","secondary","> 75k","Unaffiliated/Other",0
"yes","M",32.9776756401838,"(19.2,36.7]","secondary","35k-75k","Republican",0.0909090909090909
"no","F",67.1180783541256,"(54.2,108]","secondary","> 75k","Unaffiliated/Other",0.340909090909091
"no","M",47.833223900197,"(45.8,54.2]","secondary","< 35k","Unaffiliated/Other",0.0909090909090909
"yes","F",48.0083169183629,"(45.8,54.2]","secondary","> 75k","Unaffiliated/Other",0.159090909090909
"yes","F",21.0740862333114,"(19.2,36.7]","secondary","35k-75k","Republican",0.25
"no","M",48.3502954694682,"(45.8,54.2]","secondary","> 75k","Unaffiliated/Other",0.344827586206897
"yes","F",73.3229371853797,"(54.2,108]","primary","35k-75k","Unaffiliated/Other",0.0909090909090909
"yes","F",46.3558765594222,"(45.8,54.2]","primary","> 75k","Republican",0.365853658536585
"yes","M",68.4805209017291,"(54.2,108]","secondary","< 35k","Republican",0.318181818181818
"yes","F",22.4939811775005,"(19.2,36.7]","postsec","> 75k","Unaffiliated/Other",0.285714285714286
